f64_no_exceptions,f64_one_exception_per_vector,f64_all_nan,f64_nan_inf_negzero,f64_constant,f64_different_ef_per_vector,f64_with_nulls,f32_no_exceptions,f32_one_exception_per_vector,f32_all_nan,f32_nan_inf_negzero,f32_constant,f32_different_ef_per_vector,f32_with_nulls
5.09,5.09,NaN,0.9,42.0,0.09,0.09,5.09,5.09,NaN,0.9,42.0,0.09,0.09
5.1,5.1,NaN,1.0,42.0,0.1,,5.1,5.1,NaN,1.0,42.0,0.1,
5.11,5.11,NaN,1.1,42.0,0.11,0.11,5.11,5.11,NaN,1.1,42.0,0.11,0.11
5.12,5.12,NaN,1.2,42.0,0.12,0.12,5.12,5.12,NaN,1.2,42.0,0.12,0.12
5.13,5.13,NaN,1.3,42.0,0.13,,5.13,5.13,NaN,1.3,42.0,0.13,
5.14,5.14,NaN,1.4,42.0,0.14,0.14,5.14,5.14,NaN,1.4,42.0,0.14,0.14
5.15,5.15,NaN,1.5,42.0,0.15,0.15,5.15,5.15,NaN,1.5,42.0,0.15,0.15
5.16,5.16,NaN,1.6,42.0,0.16,,5.16,5.16,NaN,1.6,42.0,0.16,
5.17,5.17,NaN,1.7,42.0,0.17,0.17,5.17,5.17,NaN,1.7,42.0,0.17,0.17
5.18,5.18,NaN,1.8,42.0,0.18,0.18,5.18,5.18,NaN,1.8,42.0,0.18,0.18
5.19,5.19,NaN,1.9,42.0,0.19,,5.19,5.19,NaN,1.9,42.0,0.19,
5.2,5.2,NaN,2.0,42.0,0.2,0.2,5.2,5.2,NaN,2.0,42.0,0.2,0.2
5.21,5.21,NaN,2.1,42.0,0.21,0.21,5.21,5.21,NaN,2.1,42.0,0.21,0.21
5.22,5.22,NaN,2.2,42.0,0.22,,5.22,5.22,NaN,2.2,42.0,0.22,
5.23,5.23,NaN,2.3,42.0,0.23,0.23,5.23,5.23,NaN,2.3,42.0,0.23,0.23
5.24,5.24,NaN,2.4,42.0,0.24,0.24,5.24,5.24,NaN,2.4,42.0,0.24,0.24
5.25,5.25,NaN,2.5,42.0,0.25,,5.25,5.25,NaN,2.5,42.0,0.25,
5.26,5.26,NaN,2.6,42.0,0.26,0.26,5.26,5.26,NaN,2.6,42.0,0.26,0.26
5.27,5.27,NaN,2.7,42.0,0.27,0.27,5.27,5.27,NaN,2.7,42.0,0.27,0.27
5.28,5.28,NaN,2.8,42.0,0.28,,5.28,5.28,NaN,2.8,42.0,0.28,
5.29,5.29,NaN,2.9,42.0,0.29,0.29,5.29,5.29,NaN,2.9,42.0,0.29,0.29
5.3,5.3,NaN,3.0,42.0,0.3,0.3,5.3,5.3,NaN,3.0,42.0,0.3,0.3
5.31,5.31,NaN,3.1,42.0,0.31,,5.31,5.31,NaN,3.1,42.0,0.31,
5.32,5.32,NaN,3.2,42.0,0.32,0.32,5.32,5.32,NaN,3.2,42.0,0.32,0.32
5.33,5.33,NaN,3.3,42.0,0.33,0.33,5.33,5.33,NaN,3.3,42.0,0.33,0.33
5.34,5.34,NaN,3.4,42.0,0.34,,5.34,5.34,NaN,3.4,42.0,0.34,
5.35,5.35,NaN,3.5,42.0,0.35,0.35,5.35,5.35,NaN,3.5,42.0,0.35,0.35
5.36,5.36,NaN,3.6,42.0,0.36,0.36,5.36,5.36,NaN,3.6,42.0,0.36,0.36
5.37,5.37,NaN,3.7,42.0,0.37,,5.37,5.37,NaN,3.7,42.0,0.37,
5.38,5.38,NaN,3.8,42.0,0.38,0.38,5.38,5.38,NaN,3.8,42.0,0.38,0.38
5.39,5.39,NaN,3.9,42.0,0.39,0.39,5.39,5.39,NaN,3.9,42.0,0.39,0.39
5.4,5.4,NaN,4.0,42.0,0.4,,5.4,5.4,NaN,4.0,42.0,0.4,
5.41,5.41,NaN,4.1,42.0,0.41,0.41,5.41,5.41,NaN,4.1,42.0,0.41,0.41
5.42,5.42,NaN,4.2,42.0,0.42,0.42,5.42,5.42,NaN,4.2,42.0,0.42,0.42
5.43,5.43,NaN,4.3,42.0,0.43,,5.43,5.43,NaN,4.3,42.0,0.43,
5.44,5.44,NaN,4.4,42.0,0.44,0.44,5.44,5.44,NaN,4.4,42.0,0.44,0.44
5.45,5.45,NaN,4.5,42.0,0.45,0.45,5.45,5.45,NaN,4.5,42.0,0.45,0.45
5.46,5.46,NaN,4.6,42.0,0.46,,5.46,5.46,NaN,4.6,42.0,0.46,
5.47,5.47,NaN,4.7,42.0,0.47,0.47,5.47,5.47,NaN,4.7,42.0,0.47,0.47
5.48,5.48,NaN,4.8,42.0,0.48,0.48,5.48,5.48,NaN,4.8,42.0,0.48,0.48
5.49,5.49,NaN,4.9,42.0,0.49,,5.49,5.49,NaN,4.9,42.0,0.49,
5.5,5.5,NaN,5.0,42.0,0.5,0.5,5.5,5.5,NaN,5.0,42.0,0.5,0.5
5.51,5.51,NaN,5.1,42.0,0.51,0.51,5.51,5.51,NaN,5.1,42.0,0.51,0.51
5.52,5.52,NaN,5.2,42.0,0.52,,5.52,5.52,NaN,5.2,42.0,0.52,
5.53,5.53,NaN,5.3,42.0,0.53,0.53,5.53,5.53,NaN,5.3,42.0,0.53,0.53
5.54,5.54,NaN,5.4,42.0,0.54,0.54,5.54,5.54,NaN,5.4,42.0,0.54,0.54
5.55,5.55,NaN,5.5,42.0,0.55,,5.55,5.55,NaN,5.5,42.0,0.55,
5.56,5.56,NaN,5.6,42.0,0.56,0.56,5.56,5.56,NaN,5.6,42.0,0.56,0.56
5.57,5.57,NaN,5.7,42.0,0.57,0.57,5.57,5.57,NaN,5.7,42.0,0.57,0.57
5.58,5.58,NaN,5.8,42.0,0.58,,5.58,5.58,NaN,5.8,42.0,0.58,
5.59,5.59,NaN,5.9,42.0,0.59,0.59,5.59,5.59,NaN,5.9,42.0,0.59,0.59
5.6,5.6,NaN,6.0,42.0,0.6,0.6,5.6,5.6,NaN,6.0,42.0,0.6,0.6
5.61,5.61,NaN,6.1,42.0,0.61,,5.61,5.61,NaN,6.1,42.0,0.61,
5.62,5.62,NaN,6.2,42.0,0.62,0.62,5.62,5.62,NaN,6.2,42.0,0.62,0.62
5.63,5.63,NaN,6.3,42.0,0.63,0.63,5.63,5.63,NaN,6.3,42.0,0.63,0.63
5.64,5.64,NaN,6.4,42.0,0.64,,5.64,5.64,NaN,6.4,42.0,0.64,
5.65,5.65,NaN,6.5,42.0,0.65,0.65,5.65,5.65,NaN,6.5,42.0,0.65,0.65
5.66,5.66,NaN,6.6,42.0,0.66,0.66,5.66,5.66,NaN,6.6,42.0,0.66,0.66
5.67,5.67,NaN,6.7,42.0,0.67,,5.67,5.67,NaN,6.7,42.0,0.67,
5.68,5.68,NaN,6.8,42.0,0.68,0.68,5.68,5.68,NaN,6.8,42.0,0.68,0.68
5.69,5.69,NaN,6.9,42.0,0.69,0.69,5.69,5.69,NaN,6.9,42.0,0.69,0.69
5.7,5.7,NaN,7.0,42.0,0.7,,5.7,5.7,NaN,7.0,42.0,0.7,
5.71,5.71,NaN,7.1,42.0,0.71,0.71,5.71,5.71,NaN,7.1,42.0,0.71,0.71
5.72,5.72,NaN,7.2,42.0,0.72,0.72,5.72,5.72,NaN,7.2,42.0,0.72,0.72
5.73,5.73,NaN,7.3,42.0,0.73,,5.73,5.73,NaN,7.3,42.0,0.73,
5.74,5.74,NaN,7.4,42.0,0.74,0.74,5.74,5.74,NaN,7.4,42.0,0.74,0.74
5.75,5.75,NaN,7.5,42.0,0.75,0.75,5.75,5.75,NaN,7.5,42.0,0.75,0.75
5.76,5.76,NaN,7.6,42.0,0.76,,5.76,5.76,NaN,7.6,42.0,0.76,
5.77,5.77,NaN,7.7,42.0,0.77,0.77,5.77,5.77,NaN,7.7,42.0,0.77,0.77
5.78,5.78,NaN,7.8,42.0,0.78,0.78,5.78,5.78,NaN,7.8,42.0,0.78,0.78
5.79,5.79,NaN,7.9,42.0,0.79,,5.79,5.79,NaN,7.9,42.0,0.79,
5.8,5.8,NaN,8.0,42.0,0.8,0.8,5.8,5.8,NaN,8.0,42.0,0.8,0.8
5.81,5.81,NaN,8.1,42.0,0.81,0.81,5.81,5.81,NaN,8.1,42.0,0.81,0.81
5.82,5.82,NaN,8.2,42.0,0.82,,5.82,5.82,NaN,8.2,42.0,0.82,
5.83,5.83,NaN,8.3,42.0,0.83,0.83,5.83,5.83,NaN,8.3,42.0,0.83,0.83
5.84,5.84,NaN,8.4,42.0,0.84,0.84,5.84,5.84,NaN,8.4,42.0,0.84,0.84
5.85,5.85,NaN,8.5,42.0,0.85,,5.85,5.85,NaN,8.5,42.0,0.85,
5.86,5.86,NaN,8.6,42.0,0.86,0.86,5.86,5.86,NaN,8.6,42.0,0.86,0.86
5.87,5.87,NaN,8.7,42.0,0.87,0.87,5.87,5.87,NaN,8.7,42.0,0.87,0.87
5.88,5.88,NaN,8.8,42.0,0.88,,5.88,5.88,NaN,8.8,42.0,0.88,
5.89,5.89,NaN,8.9,42.0,0.89,0.89,5.89,5.89,NaN,8.9,42.0,0.89,0.89
5.9,5.9,NaN,9.0,42.0,0.9,0.9,5.9,5.9,NaN,9.0,42.0,0.9,0.9
5.91,5.91,NaN,9.1,42.0,0.91,,5.91,5.91,NaN,9.1,42.0,0.91,
5.92,5.92,NaN,9.2,42.0,0.92,0.92,5.92,5.92,NaN,9.2,42.0,0.92,0.92
5.93,5.93,NaN,9.3,42.0,0.93,0.93,5.93,5.93,NaN,9.3,42.0,0.93,0.93
5.94,5.94,NaN,9.4,42.0,0.94,,5.94,5.94,NaN,9.4,42.0,0.94,
5.95,5.95,NaN,9.5,42.0,0.95,0.95,5.95,5.95,NaN,9.5,42.0,0.95,0.95
5.96,5.96,NaN,9.6,42.0,0.96,0.96,5.96,5.96,NaN,9.6,42.0,0.96,0.96
5.97,5.97,NaN,9.7,42.0,0.97,,5.97,5.97,NaN,9.7,42.0,0.97,
5.98,5.98,NaN,9.8,42.0,0.98,0.98,5.98,5.98,NaN,9.8,42.0,0.98,0.98
5.99,5.99,NaN,9.9,42.0,0.99,0.99,5.99,5.99,NaN,9.9,42.0,0.99,0.99
6.0,6.0,NaN,0.0,42.0,0.0,,6.0,6.0,NaN,0.0,42.0,0.0,
6.01,6.01,NaN,0.1,42.0,0.01,0.01,6.01,6.01,NaN,0.1,42.0,0.01,0.01
6.02,6.02,NaN,0.2,42.0,0.02,0.02,6.02,6.02,NaN,0.2,42.0,0.02,0.02
6.03,6.03,NaN,0.3,42.0,0.03,,6.03,6.03,NaN,0.3,42.0,0.03,
6.04,6.04,NaN,0.4,42.0,0.04,0.04,6.04,6.04,NaN,0.4,42.0,0.04,0.04
6.05,6.05,NaN,0.5,42.0,0.05,0.05,6.05,6.05,NaN,0.5,42.0,0.05,0.05
6.06,6.06,NaN,0.6,42.0,0.06,,6.06,6.06,NaN,0.6,42.0,0.06,
6.07,6.07,NaN,0.7,42.0,0.07,0.07,6.07,6.07,NaN,0.7,42.0,0.07,0.07
6.08,6.08,NaN,0.8,42.0,0.08,0.08,6.08,6.08,NaN,0.8,42.0,0.08,0.08
6.09,6.09,NaN,0.9,42.0,0.09,,6.09,6.09,NaN,0.9,42.0,0.09,
6.1,6.1,NaN,1.0,42.0,0.1,0.1,6.1,6.1,NaN,1.0,42.0,0.1,0.1
6.11,6.11,NaN,1.1,42.0,0.11,0.11,6.11,6.11,NaN,1.1,42.0,0.11,0.11
6.12,6.12,NaN,1.2,42.0,0.12,,6.12,6.12,NaN,1.2,42.0,0.12,
6.13,6.13,NaN,1.3,42.0,0.13,0.13,6.13,6.13,NaN,1.3,42.0,0.13,0.13
6.14,6.14,NaN,1.4,42.0,0.14,0.14,6.14,6.14,NaN,1.4,42.0,0.14,0.14
6.15,6.15,NaN,1.5,42.0,0.15,,6.15,6.15,NaN,1.5,42.0,0.15,
6.16,6.16,NaN,1.6,42.0,0.16,0.16,6.16,6.16,NaN,1.6,42.0,0.16,0.16
6.17,6.17,NaN,1.7,42.0,0.17,0.17,6.17,6.17,NaN,1.7,42.0,0.17,0.17
6.18,6.18,NaN,1.8,42.0,0.18,,6.18,6.18,NaN,1.8,42.0,0.18,
6.19,6.19,NaN,1.9,42.0,0.19,0.19,6.19,6.19,NaN,1.9,42.0,0.19,0.19
6.2,6.2,NaN,2.0,42.0,0.2,0.2,6.2,6.2,NaN,2.0,42.0,0.2,0.2
6.21,6.21,NaN,2.1,42.0,0.21,,6.21,6.21,NaN,2.1,42.0,0.21,
6.22,6.22,NaN,2.2,42.0,0.22,0.22,6.22,6.22,NaN,2.2,42.0,0.22,0.22
6.23,6.23,NaN,2.3,42.0,0.23,0.23,6.23,6.23,NaN,2.3,42.0,0.23,0.23
6.24,6.24,NaN,2.4,42.0,0.24,,6.24,6.24,NaN,2.4,42.0,0.24,
6.25,6.25,NaN,2.5,42.0,0.25,0.25,6.25,6.25,NaN,2.5,42.0,0.25,0.25
6.26,6.26,NaN,2.6,42.0,0.26,0.26,6.26,6.26,NaN,2.6,42.0,0.26,0.26
6.27,6.27,NaN,2.7,42.0,0.27,,6.27,6.27,NaN,2.7,42.0,0.27,
6.28,6.28,NaN,2.8,42.0,0.28,0.28,6.28,6.28,NaN,2.8,42.0,0.28,0.28
6.29,6.29,NaN,2.9,42.0,0.29,0.29,6.29,6.29,NaN,2.9,42.0,0.29,0.29
6.3,6.3,NaN,3.0,42.0,0.3,,6.3,6.3,NaN,3.0,42.0,0.3,
6.31,6.31,NaN,3.1,42.0,0.31,0.31,6.31,6.31,NaN,3.1,42.0,0.31,0.31
6.32,6.32,NaN,3.2,42.0,0.32,0.32,6.32,6.32,NaN,3.2,42.0,0.32,0.32
6.33,6.33,NaN,3.3,42.0,0.33,,6.33,6.33,NaN,3.3,42.0,0.33,
6.34,6.34,NaN,3.4,42.0,0.34,0.34,6.34,6.34,NaN,3.4,42.0,0.34,0.34
6.35,6.35,NaN,3.5,42.0,0.35,0.35,6.35,6.35,NaN,3.5,42.0,0.35,0.35
6.36,6.36,NaN,3.6,42.0,0.36,,6.36,6.36,NaN,3.6,42.0,0.36,
6.37,6.37,NaN,3.7,42.0,0.37,0.37,6.37,6.37,NaN,3.7,42.0,0.37,0.37
6.38,6.38,NaN,3.8,42.0,0.38,0.38,6.38,6.38,NaN,3.8,42.0,0.38,0.38
6.39,6.39,NaN,3.9,42.0,0.39,,6.39,6.39,NaN,3.9,42.0,0.39,
6.4,6.4,NaN,4.0,42.0,0.4,0.4,6.4,6.4,NaN,4.0,42.0,0.4,0.4
6.41,6.41,NaN,4.1,42.0,0.41,0.41,6.41,6.41,NaN,4.1,42.0,0.41,0.41
6.42,6.42,NaN,4.2,42.0,0.42,,6.42,6.42,NaN,4.2,42.0,0.42,
6.43,6.43,NaN,4.3,42.0,0.43,0.43,6.43,6.43,NaN,4.3,42.0,0.43,0.43
6.44,6.44,NaN,4.4,42.0,0.44,0.44,6.44,6.44,NaN,4.4,42.0,0.44,0.44
6.45,6.45,NaN,4.5,42.0,0.45,,6.45,6.45,NaN,4.5,42.0,0.45,
6.46,6.46,NaN,4.6,42.0,0.46,0.46,6.46,6.46,NaN,4.6,42.0,0.46,0.46
6.47,6.47,NaN,4.7,42.0,0.47,0.47,6.47,6.47,NaN,4.7,42.0,0.47,0.47
6.48,6.48,NaN,4.8,42.0,0.48,,6.48,6.48,NaN,4.8,42.0,0.48,
6.49,6.49,NaN,4.9,42.0,0.49,0.49,6.49,6.49,NaN,4.9,42.0,0.49,0.49
6.5,6.5,NaN,5.0,42.0,0.5,0.5,6.5,6.5,NaN,5.0,42.0,0.5,0.5
6.51,6.51,NaN,5.1,42.0,0.51,,6.51,6.51,NaN,5.1,42.0,0.51,
6.52,6.52,NaN,5.2,42.0,0.52,0.52,6.52,6.52,NaN,5.2,42.0,0.52,0.52
6.53,6.53,NaN,5.3,42.0,0.53,0.53,6.53,6.53,NaN,5.3,42.0,0.53,0.53
6.54,6.54,NaN,5.4,42.0,0.54,,6.54,6.54,NaN,5.4,42.0,0.54,
6.55,6.55,NaN,5.5,42.0,0.55,0.55,6.55,6.55,NaN,5.5,42.0,0.55,0.55
6.56,6.56,NaN,5.6,42.0,0.56,0.56,6.56,6.56,NaN,5.6,42.0,0.56,0.56
6.57,6.57,NaN,5.7,42.0,0.57,,6.57,6.57,NaN,5.7,42.0,0.57,
6.58,6.58,NaN,5.8,42.0,0.58,0.58,6.58,6.58,NaN,5.8,42.0,0.58,0.58
6.59,6.59,NaN,5.9,42.0,0.59,0.59,6.59,6.59,NaN,5.9,42.0,0.59,0.59
6.6,6.6,NaN,6.0,42.0,0.6,,6.6,6.6,NaN,6.0,42.0,0.6,
6.61,6.61,NaN,6.1,42.0,0.61,0.61,6.61,6.61,NaN,6.1,42.0,0.61,0.61
6.62,6.62,NaN,6.2,42.0,0.62,0.62,6.62,6.62,NaN,6.2,42.0,0.62,0.62
6.63,6.63,NaN,6.3,42.0,0.63,,6.63,6.63,NaN,6.3,42.0,0.63,
6.64,6.64,NaN,6.4,42.0,0.64,0.64,6.64,6.64,NaN,6.4,42.0,0.64,0.64
6.65,6.65,NaN,6.5,42.0,0.65,0.65,6.65,6.65,NaN,6.5,42.0,0.65,0.65
6.66,6.66,NaN,6.6,42.0,0.66,,6.66,6.66,NaN,6.6,42.0,0.66,
6.67,6.67,NaN,6.7,42.0,0.67,0.67,6.67,6.67,NaN,6.7,42.0,0.67,0.67
6.68,6.68,NaN,6.8,42.0,0.68,0.68,6.68,6.68,NaN,6.8,42.0,0.68,0.68
6.69,6.69,NaN,6.9,42.0,0.69,,6.69,6.69,NaN,6.9,42.0,0.69,
6.7,6.7,NaN,7.0,42.0,0.7,0.7,6.7,6.7,NaN,7.0,42.0,0.7,0.7
6.71,6.71,NaN,7.1,42.0,0.71,0.71,6.71,6.71,NaN,7.1,42.0,0.71,0.71
6.72,6.72,NaN,7.2,42.0,0.72,,6.72,6.72,NaN,7.2,42.0,0.72,
6.73,6.73,NaN,7.3,42.0,0.73,0.73,6.73,6.73,NaN,7.3,42.0,0.73,0.73
6.74,6.74,NaN,7.4,42.0,0.74,0.74,6.74,6.74,NaN,7.4,42.0,0.74,0.74
6.75,6.75,NaN,7.5,42.0,0.75,,6.75,6.75,NaN,7.5,42.0,0.75,
6.76,6.76,NaN,7.6,42.0,0.76,0.76,6.76,6.76,NaN,7.6,42.0,0.76,0.76
6.77,6.77,NaN,7.7,42.0,0.77,0.77,6.77,6.77,NaN,7.7,42.0,0.77,0.77
6.78,6.78,NaN,7.8,42.0,0.78,,6.78,6.78,NaN,7.8,42.0,0.78,
6.79,6.79,NaN,7.9,42.0,0.79,0.79,6.79,6.79,NaN,7.9,42.0,0.79,0.79
6.8,6.8,NaN,8.0,42.0,0.8,0.8,6.8,6.8,NaN,8.0,42.0,0.8,0.8
6.81,6.81,NaN,8.1,42.0,0.81,,6.81,6.81,NaN,8.1,42.0,0.81,
6.82,6.82,NaN,8.2,42.0,0.82,0.82,6.82,6.82,NaN,8.2,42.0,0.82,0.82
6.83,6.83,NaN,8.3,42.0,0.83,0.83,6.83,6.83,NaN,8.3,42.0,0.83,0.83
6.84,6.84,NaN,8.4,42.0,0.84,,6.84,6.84,NaN,8.4,42.0,0.84,
6.85,6.85,NaN,8.5,42.0,0.85,0.85,6.85,6.85,NaN,8.5,42.0,0.85,0.85
6.86,6.86,NaN,8.6,42.0,0.86,0.86,6.86,6.86,NaN,8.6,42.0,0.86,0.86
6.87,6.87,NaN,8.7,42.0,0.87,,6.87,6.87,NaN,8.7,42.0,0.87,
6.88,6.88,NaN,8.8,42.0,0.88,0.88,6.88,6.88,NaN,8.8,42.0,0.88,0.88
6.89,6.89,NaN,8.9,42.0,0.89,0.89,6.89,6.89,NaN,8.9,42.0,0.89,0.89
6.9,6.9,NaN,9.0,42.0,0.9,,6.9,6.9,NaN,9.0,42.0,0.9,
6.91,6.91,NaN,9.1,42.0,0.91,0.91,6.91,6.91,NaN,9.1,42.0,0.91,0.91
6.92,6.92,NaN,9.2,42.0,0.92,0.92,6.92,6.92,NaN,9.2,42.0,0.92,0.92
6.93,6.93,NaN,9.3,42.0,0.93,,6.93,6.93,NaN,9.3,42.0,0.93,
6.94,6.94,NaN,9.4,42.0,0.94,0.94,6.94,6.94,NaN,9.4,42.0,0.94,0.94
6.95,6.95,NaN,9.5,42.0,0.95,0.95,6.95,6.95,NaN,9.5,42.0,0.95,0.95
6.96,6.96,NaN,9.6,42.0,0.96,,6.96,6.96,NaN,9.6,42.0,0.96,
6.97,6.97,NaN,9.7,42.0,0.97,0.97,6.97,6.97,NaN,9.7,42.0,0.97,0.97
6.98,6.98,NaN,9.8,42.0,0.98,0.98,6.98,6.98,NaN,9.8,42.0,0.98,0.98
6.99,6.99,NaN,9.9,42.0,0.99,,6.99,6.99,NaN,9.9,42.0,0.99,
7.0,7.0,NaN,0.0,42.0,0.0,0.0,7.0,7.0,NaN,0.0,42.0,0.0,0.0
7.01,7.01,NaN,0.1,42.0,0.01,0.01,7.01,7.01,NaN,0.1,42.0,0.01,0.01
7.02,7.02,NaN,0.2,42.0,0.02,,7.02,7.02,NaN,0.2,42.0,0.02,
7.03,7.03,NaN,0.3,42.0,0.03,0.03,7.03,7.03,NaN,0.3,42.0,0.03,0.03
7.04,7.04,NaN,0.4,42.0,0.04,0.04,7.04,7.04,NaN,0.4,42.0,0.04,0.04
7.05,7.05,NaN,0.5,42.0,0.05,,7.05,7.05,NaN,0.5,42.0,0.05,
7.06,7.06,NaN,0.6,42.0,0.06,0.06,7.06,7.06,NaN,0.6,42.0,0.06,0.06
7.07,7.07,NaN,0.7,42.0,0.07,0.07,7.07,7.07,NaN,0.7,42.0,0.07,0.07
7.08,7.08,NaN,0.8,42.0,0.08,,7.08,7.08,NaN,0.8,42.0,0.08,
7.09,7.09,NaN,0.9,42.0,0.09,0.09,7.09,7.09,NaN,0.9,42.0,0.09,0.09
7.1,7.1,NaN,1.0,42.0,0.1,0.1,7.1,7.1,NaN,1.0,42.0,0.1,0.1
7.11,7.11,NaN,1.1,42.0,0.11,,7.11,7.11,NaN,1.1,42.0,0.11,
7.12,7.12,NaN,1.2,42.0,0.12,0.12,7.12,7.12,NaN,1.2,42.0,0.12,0.12
7.13,7.13,NaN,1.3,42.0,0.13,0.13,7.13,7.13,NaN,1.3,42.0,0.13,0.13
7.14,7.14,NaN,1.4,42.0,0.14,,7.14,7.14,NaN,1.4,42.0,0.14,
7.15,7.15,NaN,1.5,42.0,0.15,0.15,7.15,7.15,NaN,1.5,42.0,0.15,0.15
7.16,7.16,NaN,1.6,42.0,0.16,0.16,7.16,7.16,NaN,1.6,42.0,0.16,0.16
7.17,7.17,NaN,1.7,42.0,0.17,,7.17,7.17,NaN,1.7,42.0,0.17,
7.18,7.18,NaN,1.8,42.0,0.18,0.18,7.18,7.18,NaN,1.8,42.0,0.18,0.18
7.19,7.19,NaN,1.9,42.0,0.19,0.19,7.19,7.19,NaN,1.9,42.0,0.19,0.19
7.2,7.2,NaN,2.0,42.0,0.2,,7.2,7.2,NaN,2.0,42.0,0.2,
7.21,7.21,NaN,2.1,42.0,0.21,0.21,7.21,7.21,NaN,2.1,42.0,0.21,0.21
7.22,7.22,NaN,2.2,42.0,0.22,0.22,7.22,7.22,NaN,2.2,42.0,0.22,0.22
7.23,7.23,NaN,2.3,42.0,0.23,,7.23,7.23,NaN,2.3,42.0,0.23,
7.24,7.24,NaN,2.4,42.0,0.24,0.24,7.24,7.24,NaN,2.4,42.0,0.24,0.24
7.25,7.25,NaN,2.5,42.0,0.25,0.25,7.25,7.25,NaN,2.5,42.0,0.25,0.25
7.26,7.26,NaN,2.6,42.0,0.26,,7.26,7.26,NaN,2.6,42.0,0.26,
7.27,7.27,NaN,2.7,42.0,0.27,0.27,7.27,7.27,NaN,2.7,42.0,0.27,0.27
7.28,7.28,NaN,2.8,42.0,0.28,0.28,7.28,7.28,NaN,2.8,42.0,0.28,0.28
7.29,7.29,NaN,2.9,42.0,0.29,,7.29,7.29,NaN,2.9,42.0,0.29,
7.3,7.3,NaN,3.0,42.0,0.3,0.3,7.3,7.3,NaN,3.0,42.0,0.3,0.3
7.31,7.31,NaN,3.1,42.0,0.31,0.31,7.31,7.31,NaN,3.1,42.0,0.31,0.31
7.32,7.32,NaN,3.2,42.0,0.32,,7.32,7.32,NaN,3.2,42.0,0.32,
7.33,7.33,NaN,3.3,42.0,0.33,0.33,7.33,7.33,NaN,3.3,42.0,0.33,0.33
7.34,7.34,NaN,3.4,42.0,0.34,0.34,7.34,7.34,NaN,3.4,42.0,0.34,0.34
7.35,7.35,NaN,3.5,42.0,0.35,,7.35,7.35,NaN,3.5,42.0,0.35,
7.36,7.36,NaN,3.6,42.0,0.36,0.36,7.36,7.36,NaN,3.6,42.0,0.36,0.36
7.37,7.37,NaN,3.7,42.0,0.37,0.37,7.37,7.37,NaN,3.7,42.0,0.37,0.37
7.38,7.38,NaN,3.8,42.0,0.38,,7.38,7.38,NaN,3.8,42.0,0.38,
7.39,7.39,NaN,3.9,42.0,0.39,0.39,7.39,7.39,NaN,3.9,42.0,0.39,0.39
7.4,7.4,NaN,4.0,42.0,0.4,0.4,7.4,7.4,NaN,4.0,42.0,0.4,0.4
7.41,7.41,NaN,4.1,42.0,0.41,,7.41,7.41,NaN,4.1,42.0,0.41,
7.42,7.42,NaN,4.2,42.0,0.42,0.42,7.42,7.42,NaN,4.2,42.0,0.42,0.42
7.43,7.43,NaN,4.3,42.0,0.43,0.43,7.43,7.43,NaN,4.3,42.0,0.43,0.43
7.44,7.44,NaN,4.4,42.0,0.44,,7.44,7.44,NaN,4.4,42.0,0.44,
7.45,7.45,NaN,4.5,42.0,0.45,0.45,7.45,7.45,NaN,4.5,42.0,0.45,0.45
7.46,7.46,NaN,4.6,42.0,0.46,0.46,7.46,7.46,NaN,4.6,42.0,0.46,0.46
7.47,7.47,NaN,4.7,42.0,0.47,,7.47,7.47,NaN,4.7,42.0,0.47,
7.48,7.48,NaN,4.8,42.0,0.48,0.48,7.48,7.48,NaN,4.8,42.0,0.48,0.48
7.49,7.49,NaN,4.9,42.0,0.49,0.49,7.49,7.49,NaN,4.9,42.0,0.49,0.49
7.5,7.5,NaN,5.0,42.0,0.5,,7.5,7.5,NaN,5.0,42.0,0.5,
7.51,7.51,NaN,5.1,42.0,0.51,0.51,7.51,7.51,NaN,5.1,42.0,0.51,0.51
7.52,7.52,NaN,5.2,42.0,0.52,0.52,7.52,7.52,NaN,5.2,42.0,0.52,0.52
7.53,7.53,NaN,5.3,42.0,0.53,,7.53,7.53,NaN,5.3,42.0,0.53,
7.54,7.54,NaN,5.4,42.0,0.54,0.54,7.54,7.54,NaN,5.4,42.0,0.54,0.54
7.55,7.55,NaN,5.5,42.0,0.55,0.55,7.55,7.55,NaN,5.5,42.0,0.55,0.55
7.56,7.56,NaN,5.6,42.0,0.56,,7.56,7.56,NaN,5.6,42.0,0.56,
7.57,7.57,NaN,5.7,42.0,0.57,0.57,7.57,7.57,NaN,5.7,42.0,0.57,0.57
7.58,7.58,NaN,5.8,42.0,0.58,0.58,7.58,7.58,NaN,5.8,42.0,0.58,0.58
7.59,7.59,NaN,5.9,42.0,0.59,,7.59,7.59,NaN,5.9,42.0,0.59,
7.6,7.6,NaN,6.0,42.0,0.6,0.6,7.6,7.6,NaN,6.0,42.0,0.6,0.6
7.61,7.61,NaN,6.1,42.0,0.61,0.61,7.61,7.61,NaN,6.1,42.0,0.61,0.61
7.62,7.62,NaN,6.2,42.0,0.62,,7.62,7.62,NaN,6.2,42.0,0.62,
7.63,7.63,NaN,6.3,42.0,0.63,0.63,7.63,7.63,NaN,6.3,42.0,0.63,0.63
7.64,7.64,NaN,6.4,42.0,0.64,0.64,7.64,7.64,NaN,6.4,42.0,0.64,0.64
